SL,District,Sq No,Country,Division,District,Upazila,Union,Ward No,Name of SK/SHW,Desig.,Name of SS,Village Name (English),"Village Name 
(Bangla)","Village 
Code",Latitude,Longitute,Population,HH Number,"2026 
(Active LLINs)","2025
(Active LLINs)","2024
(Active LLINs)",January,February,March,April,May,June,July,August,September,October,November,December,"Name of
 MMW, 
Health 
post &
CHW(C)","Village 
Distance
 from 
upazila office (KM)","Name of Border
 with others
 country","Others
 Activities
(TDA/Dev care)"
1,Bandarban,1,Bangladesh,Chattogram,Bandarban,Ruma,Galengya,01,,,,Adiga Para,আদিগা পাড়া,GAL101,21.904000,92.423000,200,,,,,,,,,,,,,,,,,,,,
2,Bandarban,2,Bangladesh,Chattogram,Bandarban,Ruma,Galengya,01,,,,Ramdu Para,রামদু পাড়া,GAL102,21.916000,92.412000,300,,,,,,,,,,,,,,,,,,,,
3,Bandarban,3,Bangladesh,Chattogram,Bandarban,Ruma,Galengya,01,,,,Mongoha Para,মুংগহা পাড়া,GAL103,21.929000,92.431000,190,,,,,,,,,,,,,,,,,,,,
4,Bandarban,4,Bangladesh,Chattogram,Bandarban,Ruma,Galengya,01,,,,Zigan Para,জিগন পাড়া,GAL104,21.915000,92.402000,115,,,,,,,,,,,,,,,,,,,,
5,Bandarban,5,Bangladesh,Chattogram,Bandarban,Ruma,Galengya,01,,,,Eden Para,ইডেন পাড়া,GAL105,21.922000,92.395000,180,,,,,,,,,,,,,,,,,,,,
6,Bandarban,6,Bangladesh,Chattogram,Bandarban,Ruma,Galengya,01,,,,Ramdu Para 2,রামদু পাড়া ২,GAL106,21.912000,92.437000,120,,,,,,,,,,,,,,,,,,,,
7,Bandarban,7,Bangladesh,Chattogram,Bandarban,Ruma,Galengya,02,,,,Maihui Para,মাইহুই পাড়া,GAL201,21.927000,92.376000,215,,,,,,,,,,,,,,,,,,,,
8,Bandarban,8,Bangladesh,Chattogram,Bandarban,Ruma,Galengya,02,,,,Manglu Para,মাংলু পাড়া,GAL202,21.947000,92.383000,210,,,,,,,,,,,,,,,,,,,,
9,Bandarban,9,Bangladesh,Chattogram,Bandarban,Ruma,Galengya,02,,,,Thaingjai Para,থাইংজৈ পাড়া,GAL203,21.954000,92.372000,45,,,,,,,,,,,,,,,,,,,,
10,Bandarban,10,Bangladesh,Chattogram,Bandarban,Ruma,Galengya,02,,,,Jayton Para,জৈতুন পাড়া,GAL204,21.907000,92.388000,176,,,,,,,,,,,,,,,,,,,,
11,Bandarban,11,Bangladesh,Chattogram,Bandarban,Ruma,Galengya,02,,,,Kala Para,কালা পাড়া,GAL205,21.929000,92.403000,140,,,,,,,,,,,,,,,,,,,,
12,Bandarban,12,Bangladesh,Chattogram,Bandarban,Ruma,Galengya,02,,,,Mangpang Para,মাংপং পাড়া,GAL206,21.936000,92.364000,55,,,,,,,,,,,,,,,,,,,,
13,Bandarban,13,Bangladesh,Chattogram,Bandarban,Ruma,Galengya,02,,,,Natun Para,নতুন পাড়া,GAL207,21.909000,92.381000,35,,,,,,,,,,,,,,,,,,,,
14,Bandarban,14,Bangladesh,Chattogram,Bandarban,Ruma,Galengya,02,,,,Natun Mro Para,নতুন ম্রো পাড়া,GAL208,21.919000,92.360000,17,,,,,,,,,,,,,,,,,,,,
15,Bandarban,15,Bangladesh,Chattogram,Bandarban,Ruma,Galengya,03,,,,Dalujhiri Mukh Para,ডলুঝিড়ি মুখ পাড়া,GAL301,21.908000,92.378000,86,,,,,,,,,,,,,,,,,,,,
16,Bandarban,16,Bangladesh,Chattogram,Bandarban,Ruma,Galengya,03,,,,Dalujhiri Hlafu Para,ডলুঝিড়ি হ্লাফু পাড়া,GAL302,21.896000,92.373000,54,,,,,,,,,,,,,,,,,,,,
17,Bandarban,17,Bangladesh,Chattogram,Bandarban,Ruma,Galengya,03,,,,Bharat Para,ভরত পাড়া,GAL303,21.887000,92.378000,170,,,,,,,,,,,,,,,,,,,,
18,Bandarban,18,Bangladesh,Chattogram,Bandarban,Ruma,Galengya,03,,,,Raymohan Para,রাইমোহন পাড়া,GAL304,21.900000,92.384000,82,,,,,,,,,,,,,,,,,,,,
19,Bandarban,19,Bangladesh,Chattogram,Bandarban,Ruma,Galengya,03,,,,Seprue Para,সেপ্রু পাড়া,GAL305,21.913000,92.360000,250,,,,,,,,,,,,,,,,,,,,
20,Bandarban,20,Bangladesh,Chattogram,Bandarban,Ruma,Galengya,03,,,,Sangou Para,সাংউ পাড়া,GAL306,21.920000,92.353000,35,,,,,,,,,,,,,,,,,,,,
