127.0.0.1 - - [27/Mar/2026:23:21:38 -0500] "GET /api/ HTTP/1.0" 401 104 "-" "curl/7.81.0"
127.0.0.1 - - [29/Mar/2026:22:49:25 -0500] "HEAD /api/malaria/auth/session/ HTTP/1.0" 404 33160 "-" "curl/8.5.0"
127.0.0.1 - - [29/Mar/2026:22:50:47 -0500] "GET /api/malaria/auth/session/ HTTP/1.0" 401 104 "-" "curl/8.5.0"
127.0.0.1 - - [29/Mar/2026:22:51:29 -0500] "HEAD /api/malaria/auth/session/ HTTP/1.0" 401 104 "-" "curl/8.5.0"
127.0.0.1 - - [29/Mar/2026:23:02:31 -0500] "POST /api/auth/login/ HTTP/1.0" 400 31 "http://72.61.170.115:5180/login" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
127.0.0.1 - - [29/Mar/2026:23:04:25 -0500] "HEAD /api/malaria/auth/session/ HTTP/1.0" 401 104 "-" "curl/8.5.0"
127.0.0.1 - - [29/Mar/2026:23:04:25 -0500] "HEAD /api/malaria/auth/session/ HTTP/1.1" 401 104 "-" "curl/8.5.0"
127.0.0.1 - - [29/Mar/2026:23:04:49 -0500] "POST /api/auth/login/ HTTP/1.0" 400 31 "-" "curl/8.5.0"
127.0.0.1 - - [29/Mar/2026:23:06:31 -0500] "HEAD /api/malaria/auth/session/ HTTP/1.0" 401 104 "-" "curl/8.5.0"
127.0.0.1 - - [29/Mar/2026:23:11:07 -0500] "GET /api/malaria/auth/session/ HTTP/1.0" 401 104 "-" "curl/8.5.0"
127.0.0.1 - - [29/Mar/2026:23:13:27 -0500] "GET /api/malaria/me/ HTTP/1.0" 404 46990 "-" "curl/8.5.0"
127.0.0.1 - - [29/Mar/2026:23:13:27 -0500] "GET /api/malaria/dashboard/ HTTP/1.0" 404 47011 "-" "curl/8.5.0"
127.0.0.1 - - [29/Mar/2026:23:13:27 -0500] "GET /api/malaria/dashboard/summary/ HTTP/1.0" 401 104 "-" "curl/8.5.0"
127.0.0.1 - - [29/Mar/2026:23:13:27 -0500] "GET /api/malaria/users/ HTTP/1.0" 404 46999 "-" "curl/8.5.0"
127.0.0.1 - - [29/Mar/2026:23:13:27 -0500] "GET /api/malaria/master-data/ HTTP/1.0" 404 47017 "-" "curl/8.5.0"
127.0.0.1 - - [29/Mar/2026:23:22:26 -0500] "GET /api/malaria/me/ HTTP/1.0" 401 104 "-" "curl/8.5.0"
127.0.0.1 - - [29/Mar/2026:23:22:26 -0500] "GET /api/malaria/dashboard/ HTTP/1.0" 401 104 "-" "curl/8.5.0"
127.0.0.1 - - [29/Mar/2026:23:22:26 -0500] "GET /api/malaria/users/ HTTP/1.0" 401 104 "-" "curl/8.5.0"
127.0.0.1 - - [29/Mar/2026:23:22:26 -0500] "GET /api/malaria/master-data/ HTTP/1.0" 401 104 "-" "curl/8.5.0"
127.0.0.1 - - [29/Mar/2026:23:22:26 -0500] "GET /api/malaria/approvals/ HTTP/1.0" 401 104 "-" "curl/8.5.0"
127.0.0.1 - - [29/Mar/2026:23:23:13 -0500] "GET /api/malaria/me/ HTTP/1.0" 401 104 "-" "curl/8.5.0"
127.0.0.1 - - [29/Mar/2026:23:27:22 -0500] "GET /api/malaria/me/ HTTP/1.0" 401 104 "-" "curl/8.5.0"
