SL,Country,Division,District,Upazila,Union,Ward No,Name of SK/SHW,Desig.,Name of SS,Village Name (English),"Village Name 
(Bangla)","Village 
Code",Latitude,Longitute,Population,HH Number,"2026 
(Active LLINs)","2025
(Active LLINs)","2024
(Active LLINs)",January,February,March,April,May,June,July,August,September,October,November,December,"Name of
 MMW, 
Health 
post &
CHW(C)","Village 
Distance
 from 
upazila office (KM)","Name of Border
 with others
 country","Others
 Activities
(TDA/Dev care)"
1,Bangladesh,Chattogram,Bandarban,Bandarban Sadar,Bandarban Pourasabha,01,,,,Bazar Elaka,বাজার এলাকা,BAM101,22.214203,92.211000,300,,,,,,,,,,,,,,,,,,,,
2,Bangladesh,Chattogram,Bandarban,Bandarban Sadar,Bandarban Pourasabha,01,,,,Dinej Kabiraj Para,দিনেজ কবিরাজ পাড়া,BAM102,22.215495,92.209000,150,,,,,,,,,,,,,,,,,,,,
3,Bangladesh,Chattogram,Bandarban,Bandarban Sadar,Bandarban Pourasabha,01,,,,Fazar Ali Para,ফজর আলী পাড়া,BAM103,22.212175,92.215000,100,,,,,,,,,,,,,,,,,,,,
4,Bangladesh,Chattogram,Bandarban,Bandarban Sadar,Bandarban Pourasabha,01,,,,Godar Para,গোদার পাড়া,BAM104,22.215341,92.207000,100,,,,,,,,,,,,,,,,,,,,
5,Bangladesh,Chattogram,Bandarban,Bandarban Sadar,Bandarban Pourasabha,01,,,,Haji Para,হাজী পাড়া,BAM105,22.215827,92.208000,150,,,,,,,,,,,,,,,,,,,,
6,Bangladesh,Chattogram,Bandarban,Bandarban Sadar,Bandarban Pourasabha,01,,,,Highschool Elaka,হাইস্কুল এলাকা,BAM106,22.217534,92.210000,200,,,,,,,,,,,,,,,,,,,,
7,Bangladesh,Chattogram,Bandarban,Bandarban Sadar,Bandarban Pourasabha,01,,,,Hindu Para,হিন্দু পাড়া,BAM107,22.217475,92.207000,1000,,,,,,,,,,,,,,,,,,,,
8,Bangladesh,Chattogram,Bandarban,Bandarban Sadar,Bandarban Pourasabha,01,,,,Karbari Para,কারবারি পাড়া,BAM108,22.215545,92.211000,500,,,,,,,,,,,,,,,,,,,,
9,Bangladesh,Chattogram,Bandarban,Bandarban Sadar,Bandarban Pourasabha,01,,,,Kespro Para,কেসপ্রো পাড়া,BAM109,22.216937,92.211000,250,,,,,,,,,,,,,,,,,,,,
10,Bangladesh,Chattogram,Bandarban,Bandarban Sadar,Bandarban Pourasabha,01,,,,Lemujhiri Para,লেমুঝিরি পাড়া,BAM110,22.214525,92.214000,60,,,,,,,,,,,,,,,,,,,,
