SL,Country,Division,District,Upazila,Union,Ward No,Name of SK/SHW,Desig.,Name of SS,Village Name (English),"Village Name 
(Bangla)","Village 
Code",Latitude,Longitute,Population,HH Number,"2026 
(Active LLINs)","2025
(Active LLINs)","2024
(Active LLINs)",January,February,March,April,May,June,July,August,September,October,November,December,"Name of
 MMW, 
Health 
post &
CHW(C)","Village 
Distance
 from 
upazila office (KM)","Name of Border
 with others
 country","Others
 Activities
(TDA/Dev care)"
1,Bangladesh,Chattogram,Khagrachhari,Manikchhari,Batnatoli,1,,,,Batna Bazar,,,,,405,85,,170,0,,,,,,,,,,,,,,,,
2,Bangladesh,Chattogram,Khagrachhari,Manikchhari,Batnatoli,1,,,,Baro Gram,,,,,351,77,,150,0,,,,,,,,,,,,,,,,
3,Bangladesh,Chattogram,Khagrachhari,Manikchhari,Batnatoli,1,,,,Headman Para,,,,,240,53,,0,0,,,,,,,,,,,,,,,,
4,Bangladesh,Chattogram,Khagrachhari,Manikchhari,Batnatoli,1,,,,Bouddo Para,,,,,655,138,,0,0,,,,,,,,,,,,,,,,
5,Bangladesh,Chattogram,Khagrachhari,Manikchhari,Batnatoli,1,,,,Natun Para,,,,,535,116,,250,0,,,,,,,,,,,,,,,,
6,Bangladesh,Chattogram,Khagrachhari,Manikchhari,Batnatoli,1,,,,Jamineraga,,,,,260,54,,110,0,,,,,,,,,,,,,,,,
7,Bangladesh,Chattogram,Khagrachhari,Manikchhari,Batnatoli,1,,,,Badan Para,,,,,995,100,,0,0,,,,,,,,,,,,,,,,
8,Bangladesh,Chattogram,Khagrachhari,Manikchhari,Batnatoli,1,,,,Kanak Chandra para,,,,,550,120,,0,0,,,,,,,,,,,,,,,,
9,Bangladesh,Chattogram,Khagrachhari,Manikchhari,Batnatoli,1,,,,Baro Gram,,,,,840,172,,0,0,,,,,,,,,,,,,,,,
10,Bangladesh,Chattogram,Khagrachhari,Manikchhari,Batnatoli,2,,,,Tabala para,,,,,1189,251,,0,0,,,,,,,,,,,,,,,,
11,Bangladesh,Chattogram,Khagrachhari,Manikchhari,Batnatoli,2,,,,Baikala,,,,,614,133,,0,0,,,,,,,,,,,,,,,,
12,Bangladesh,Chattogram,Khagrachhari,Manikchhari,Batnatoli,3,,,,Hujur Tila,,,,,575,122,,0,0,,,,,,,,,,,,,,,,
13,Bangladesh,Chattogram,Khagrachhari,Manikchhari,Batnatoli,3,,,,Tholi Para,,,,,800,200,,0,0,,,,,,,,,,,,,,,,
14,Bangladesh,Chattogram,Khagrachhari,Manikchhari,Batnatoli,3,,,,Hati Tila,,,,,776,163,,0,0,,,,,,,,,,,,,,,,
15,Bangladesh,Chattogram,Khagrachhari,Manikchhari,Batnatoli,3,,,,Potirong Para,,,,,847,176,,303,0,,,,,,,,,,,,,,,,
16,Bangladesh,Chattogram,Khagrachhari,Manikchhari,Batnatoli,4,,,,Bodung Para,,,,,788,170,,0,0,,,,,,,,,,,,,,,,
17,Bangladesh,Chattogram,Khagrachhari,Manikchhari,Batnatoli,5,,,,Panna Bil,,,,,982,207,,0,0,,,,,,,,,,,,,,,,
18,Bangladesh,Chattogram,Khagrachhari,Manikchhari,Batnatoli,5,,,,Panna Bill Uttar Para,,,,,753,156,,0,0,,,,,,,,,,,,,,,,
19,Bangladesh,Chattogram,Khagrachhari,Manikchhari,Batnatoli,5,,,,Nowa Para,,,,,225,55,,0,0,,,,,,,,,,,,,,,,
20,Bangladesh,Chattogram,Khagrachhari,Manikchhari,Batnatoli,6,,,,Dinechari,,,,,736,156,,259,0,,,,,,,,,,,,,,,,
21,Bangladesh,Chattogram,Khagrachhari,Manikchhari,Batnatoli,6,,,,Dinechari Dokkhin Para,,,,,658,140,,0,0,,,,,,,,,,,,,,,,
22,Bangladesh,Chattogram,Khagrachhari,Manikchhari,Batnatoli,6,,,,Dinechari Uttar Para,,,,,1055,227,,0,0,,,,,,,,,,,,,,,,
23,Bangladesh,Chattogram,Khagrachhari,Manikchhari,Batnatoli,6,,,,Budung para,,,,,1010,211,,0,0,,,,,,,,,,,,,,,,
24,Bangladesh,Chattogram,Khagrachhari,Manikchhari,Batnatoli,6,,,,Master Para,,,,,345,125,,250,0,,,,,,,,,,,,,,,,
25,Bangladesh,Chattogram,Khagrachhari,Manikchhari,Batnatoli,6,,,,Panjapru Para,,,,,300,90,,150,0,,,,,,,,,,,,,,,,
26,Bangladesh,Chattogram,Khagrachhari,Manikchhari,Batnatoli,6,,,,Tingojja Para,,,,,580,123,,234,0,,,,,,,,,,,,,,,,
27,Bangladesh,Chattogram,Khagrachhari,Manikchhari,Batnatoli,6,,,,Mohajan Para,,,,,795,230,,450,0,,,,,,,,,,,,,,,,
28,Bangladesh,Chattogram,Khagrachhari,Manikchhari,Batnatoli,7,,,,Headman Para,,,,,900,140,,273,0,,,,,,,,,,,,,,,,
29,Bangladesh,Chattogram,Khagrachhari,Manikchhari,Batnatoli,7,,,,Sadu para,,,,,686,148,,305,0,,,,,,,,,,,,,,,,
30,Bangladesh,Chattogram,Khagrachhari,Manikchhari,Batnatoli,7,,,,Lipia Para,,,,,387,83,,170,0,,,,,,,,,,,,,,,,
31,Bangladesh,Chattogram,Khagrachhari,Manikchhari,Batnatoli,7,,,,Sempru Para,,,,,541,111,,225,0,,,,,,,,,,,,,,,,
32,Bangladesh,Chattogram,Khagrachhari,Manikchhari,Batnatoli,7,,,,Kasom Karbari para,,,,,463,96,,226,0,,,,,,,,,,,,,,,,
33,Bangladesh,Chattogram,Khagrachhari,Manikchhari,Batnatoli,7,,,,Sadar Khil Bazar,,,,,797,209,,393,0,,,,,,,,,,,,,,,,
34,Bangladesh,Chattogram,Khagrachhari,Manikchhari,Batnatoli,7,,,,Karichara,,,,,434,89,,276,0,,,,,,,,,,,,,,,,
35,Bangladesh,Chattogram,Khagrachhari,Manikchhari,Batnatoli,7,,,,Sadar Khil Chakma Para,,,,,381,79,,214,0,,,,,,,,,,,,,,,,
36,Bangladesh,Chattogram,Khagrachhari,Manikchhari,Batnatoli,8,,,,School Tila,,,,,996,224,,654,0,,,,,,,,,,,,,,,,
37,Bangladesh,Chattogram,Khagrachhari,Manikchhari,Batnatoli,8,,,,Moradulu,,,,,453,137,,342,0,,,,,,,,,,,,,,,,
38,Bangladesh,Chattogram,Khagrachhari,Manikchhari,Batnatoli,9,,,,Lal Tila,,,,,437,90,,161,0,,,,,,,,,,,,,,,,
39,Bangladesh,Chattogram,Khagrachhari,Manikchhari,Batnatoli,9,,,,Dakai Shibir,,,,,867,225,,559,0,,,,,,,,,,,,,,,,
40,Bangladesh,Chattogram,Khagrachhari,Manikchhari,Joggyo Sola,1,,,,Gila Tali,,,,,480,62,,339,0,,,,,,,,,,,,,,,,
41,Bangladesh,Chattogram,Khagrachhari,Manikchhari,Joggyo Sola,1,,,,Achalong para,,,,,487,106,,272,0,,,,,,,,,,,,,,,,
42,Bangladesh,Chattogram,Khagrachhari,Manikchhari,Joggyo Sola,1,,,,Muslim Para,,,,,270,54,,184,0,,,,,,,,,,,,,,,,
43,Bangladesh,Chattogram,Khagrachhari,Manikchhari,Joggyo Sola,1,,,,Hati Kumba,,,,,250,21,,0,0,,,,,,,,,,,,,,,,
44,Bangladesh,Chattogram,Khagrachhari,Manikchhari,Joggyo Sola,1,,,,Roasa Para,,,,,1096,236,,0,0,,,,,,,,,,,,,,,,
45,Bangladesh,Chattogram,Khagrachhari,Manikchhari,Joggyo Sola,1,,,,Guza Para,,,,,487,106,,200,0,,,,,,,,,,,,,,,,
46,Bangladesh,Chattogram,Khagrachhari,Manikchhari,Joggyo Sola,1,,,,Panna Karbari Para,,,,,1074,207,,276,0,,,,,,,,,,,,,,,,
47,Bangladesh,Chattogram,Khagrachhari,Manikchhari,Joggyo Sola,1,,,,Rainna Para,,,,,558,128,,147,0,,,,,,,,,,,,,,,,
48,Bangladesh,Chattogram,Khagrachhari,Manikchhari,Joggyo Sola,2,,,,School Tila,,,,,1888,330,,0,0,,,,,,,,,,,,,,,,
49,Bangladesh,Chattogram,Khagrachhari,Manikchhari,Joggyo Sola,2,,,,Nowa Para,,,,,704,132,,149,0,,,,,,,,,,,,,,,,
50,Bangladesh,Chattogram,Khagrachhari,Manikchhari,Joggyo Sola,2,,,,Namar Para,,,,,1310,221,,0,0,,,,,,,,,,,,,,,,
51,Bangladesh,Chattogram,Khagrachhari,Manikchhari,Joggyo Sola,3,,,,Master Para,,,,,260,50,,107,0,,,,,,,,,,,,,,,,
52,Bangladesh,Chattogram,Khagrachhari,Manikchhari,Joggyo Sola,4,,,,Asartoli,,,,,225,97,,141,0,,,,,,,,,,,,,,,,
53,Bangladesh,Chattogram,Khagrachhari,Manikchhari,Joggyo Sola,4,,,,Gas Field,,,,,399,83,,100,0,,,,,,,,,,,,,,,,
54,Bangladesh,Chattogram,Khagrachhari,Manikchhari,Joggyo Sola,4,,,,Kalapani,,,,,165,30,,116,0,,,,,,,,,,,,,,,,
