SL,Country,Division,District,Upazila,Union,Ward No,Name of SK/SHW,Desig.,Name of SS,Village Name (English),"Village Name 
(Bangla)","Village 
Code",Latitude,Longitute,Population,HH Number,"2026 
(Active LLINs)","2025
(Active LLINs)","2024
(Active LLINs)",January,February,March,April,May,June,July,August,September,October,November,December,"Name of
 MMW, 
Health 
post &
CHW(C)","Village 
Distance
 from 
upazila office (KM)","Name of Border
 with others
 country","Others
 Activities
(TDA/Dev care)"
1,Bangladesh,Chattogram,Khagrachhari,Lakkhichhari,Barmachari,1,,,,Barmachari muk,,,,,1027,205,,,160,,,,,,,,,,,,,,,,
2,Bangladesh,Chattogram,Khagrachhari,Lakkhichhari,Barmachari,1,,,,Maddya barmachari,,,,,151,30,,,46,,,,,,,,,,,,,,,,
3,Bangladesh,Chattogram,Khagrachhari,Lakkhichhari,Barmachari,1,,,,Tanuram para,,,,,135,31,,70,,,,,,,,,,,,,,,,,
4,Bangladesh,Chattogram,Khagrachhari,Lakkhichhari,Barmachari,1,,,,Chowarasta more,,,,,526,105,,220,,,,,,,,,,,,,,,,,
5,Bangladesh,Chattogram,Khagrachhari,Lakkhichhari,Barmachari,1,,,,Kola Buniya,,,,,255,70,,,,,,,,,,,,,,,,,,,
6,Bangladesh,Chattogram,Khagrachhari,Lakkhichhari,Barmachari,1,,,,Bagchari,,,,,386,70,,,80,,,,,,,,,,,,,,,,
7,Bangladesh,Chattogram,Khagrachhari,Lakkhichhari,Barmachari,1,,,,Dewan Para,,,,,410,70,,,85,,,,,,,,,,,,,,,,
8,Bangladesh,Chattogram,Khagrachhari,Lakkhichhari,Barmachari,1,,,,Boddo Para,,,,,340,65,,110,,,,,,,,,,,,,,,,,
9,Bangladesh,Chattogram,Khagrachhari,Lakkhichhari,Barmachari,2,,,,South Binajuri,,,,,340,65,,,98,,,,,,,,,,,,,,,,
10,Bangladesh,Chattogram,Khagrachhari,Lakkhichhari,Barmachari,2,,,,Naranmyachari,,,,,543,107,,,77,,,,,,,,,,,,,,,,
11,Bangladesh,Chattogram,Khagrachhari,Lakkhichhari,Barmachari,2,,,,Uttar Binajuri,,,,,372,73,,,80,,,,,,,,,,,,,,,,
12,Bangladesh,Chattogram,Khagrachhari,Lakkhichhari,Barmachari,2,,,,Binajori,,,,,355,71,,,62,,,,,,,,,,,,,,,,
13,Bangladesh,Chattogram,Khagrachhari,Lakkhichhari,Barmachari,2,,,,Shilchari,,,,,645,123,,203,,,,,,,,,,,,,,,,,
14,Bangladesh,Chattogram,Khagrachhari,Lakkhichhari,Barmachari,2,,,,Labuchari,,,,,840,168,,,70,,,,,,,,,,,,,,,,
15,Bangladesh,Chattogram,Khagrachhari,Lakkhichhari,Barmachari,3,,,,West Boddo Para,,,,,260,52,,,90,,,,,,,,,,,,,,,,
16,Bangladesh,Chattogram,Khagrachhari,Lakkhichhari,Barmachari,3,,,,Lamba Tila,,,,,192,41,,65,,,,,,,,,,,,,,,,,
17,Bangladesh,Chattogram,Khagrachhari,Lakkhichhari,Barmachari,3,,,,Tholi Para,,,,,476,95,,,153,,,,,,,,,,,,,,,,
18,Bangladesh,Chattogram,Khagrachhari,Lakkhichhari,Barmachari,3,,,,Marma Tila,,,,,379,70,,,132,,,,,,,,,,,,,,,,
19,Bangladesh,Chattogram,Khagrachhari,Lakkhichhari,Barmachari,3,,,,Kutubchari Bazar,,,,,355,40,,,,,,,,,,,,,,,,,,,
20,Bangladesh,Chattogram,Khagrachhari,Lakkhichhari,Barmachari,3,,,,Notun Para,,,,,176,35,,,71,,,,,,,,,,,,,,,,
21,Bangladesh,Chattogram,Khagrachhari,Lakkhichhari,Barmachari,3,,,,Kutubchari Chakma Para,,,,,369,70,,125,,,,,,,,,,,,,,,,,
22,Bangladesh,Chattogram,Khagrachhari,Lakkhichhari,Barmachari,4,,,,Dula mura,,,,,243,60,,,118,,,,,,,,,,,,,,,,
23,Bangladesh,Chattogram,Khagrachhari,Lakkhichhari,Barmachari,4,,,,Dadonggo Chara,,,,,340,68,,,95,,,,,,,,,,,,,,,,
24,Bangladesh,Chattogram,Khagrachhari,Lakkhichhari,Barmachari,4,,,,Guichari,,,,,269,67,,,126,,,,,,,,,,,,,,,,
25,Bangladesh,Chattogram,Khagrachhari,Lakkhichhari,Barmachari,4,,,,East Suknachari,,,,,510,90,,,167,,,,,,,,,,,,,,,,
26,Bangladesh,Chattogram,Khagrachhari,Lakkhichhari,Barmachari,4,,,,Kola chari/mukh,,,,,234,38,,,64,,,,,,,,,,,,,,,,
27,Bangladesh,Chattogram,Khagrachhari,Lakkhichhari,Barmachari,4,,,,Kandop Para,,,,,181,54,,,,,,,,,,,,,,,,,,,
28,Bangladesh,Chattogram,Khagrachhari,Lakkhichhari,Barmachari,4,,,,Boli Para,,,,,348,68,,,114,,,,,,,,,,,,,,,,
29,Bangladesh,Chattogram,Khagrachhari,Lakkhichhari,Barmachari,4,,,,Muktachari,,,,,271,57,,,,,,,,,,,,,,,,,,,
30,Bangladesh,Chattogram,Khagrachhari,Lakkhichhari,Barmachari,5,,,,North Shuknachari,,,,,509,85,,,150,,,,,,,,,,,,,,,,
31,Bangladesh,Chattogram,Khagrachhari,Lakkhichhari,Barmachari,5,,,,Moddho shuknachari,,,,,772,145,,170,,,,,,,,,,,,,,,,,
32,Bangladesh,Chattogram,Khagrachhari,Lakkhichhari,Barmachari,5,,,,Hazachari,,,,,232,53,,,,,,,,,,,,,,,,,,,
33,Bangladesh,Chattogram,Khagrachhari,Lakkhichhari,Barmachari,5,,,,South Shuknachari,,,,,225,55,,,,,,,,,,,,,,,,,,,
34,Bangladesh,Chattogram,Khagrachhari,Lakkhichhari,Barmachari,6,,,,Lelang,,,,,472,120,,,,,,,,,,,,,,,,,,,
35,Bangladesh,Chattogram,Khagrachhari,Lakkhichhari,Barmachari,6,,,,Bottali,,,,,230,50,,,,,,,,,,,,,,,,,,,
36,Bangladesh,Chattogram,Khagrachhari,Lakkhichhari,Barmachari,6,,,,Jadu Para,,,,,322,83,,,130,,,,,,,,,,,,,,,,
37,Bangladesh,Chattogram,Khagrachhari,Lakkhichhari,Barmachari,6,,,,Korenga Tila,,,,,66,19,,25,,,,,,,,,,,,,,,,,
38,Bangladesh,Chattogram,Khagrachhari,Lakkhichhari,Barmachari,6,,,,Natun Para,,,,,478,115,,,142,,,,,,,,,,,,,,,,
39,Bangladesh,Chattogram,Khagrachhari,Lakkhichhari,Barmachari,6,,,,Futta Para,,,,,180,42,,60,,,,,,,,,,,,,,,,,
40,Bangladesh,Chattogram,Khagrachhari,Lakkhichhari,Barmachari,6,,,,Kolachari,,,,,184,43,,,80,,,,,,,,,,,,,,,,
41,Bangladesh,Chattogram,Khagrachhari,Lakkhichhari,Barmachari,7,,,,East baidya para,,,,,475,115,,150,,,,,,,,,,,,,,,,,
42,Bangladesh,Chattogram,Khagrachhari,Lakkhichhari,Barmachari,7,,,,Futtachari,,,,,210,42,,49,,,,,,,,,,,,,,,,,
43,Bangladesh,Chattogram,Khagrachhari,Lakkhichhari,Barmachari,7,,,,Keret Kata,,,,,433,78,,,155,,,,,,,,,,,,,,,,
44,Bangladesh,Chattogram,Khagrachhari,Lakkhichhari,Barmachari,8,,,,Bihar Para,,,,,230,46,,53,0,,,,,,,,,,,,,,,,
45,Bangladesh,Chattogram,Khagrachhari,Lakkhichhari,Barmachari,8,,,,Ultachari,,,,,346,69,,56,,,,,,,,,,,,,,,,,
46,Bangladesh,Chattogram,Khagrachhari,Lakkhichhari,Barmachari,9,,,,Moromchari,,,,,204,50,,,95,,,,,,,,,,,,,,,,
47,Bangladesh,Chattogram,Khagrachhari,Lakkhichhari,Barmachari,9,,,,pekkuya para,,,,,255,53,,42,,,,,,,,,,,,,,,,,
48,Bangladesh,Chattogram,Khagrachhari,Lakkhichhari,Dullatali,1,,,,Magrachari,,,,,216,56,,50,,,,,,,,,,,,,,,,,
49,Bangladesh,Chattogram,Khagrachhari,Lakkhichhari,Dullatali,2,,,,Nabanga para,,,,,409,107,,94,,,,,,,,,,,,,,,,,
50,Bangladesh,Chattogram,Khagrachhari,Lakkhichhari,Dullatali,2,,,,Duilatoli,,,,,611,154,,130,,,,,,,,,,,,,,,,,
51,Bangladesh,Chattogram,Khagrachhari,Lakkhichhari,Dullatali,2,,,,East chailatali,,,,,533,137,,,126,,,,,,,,,,,,,,,,
52,Bangladesh,Chattogram,Khagrachhari,Lakkhichhari,Dullatali,2,,,,West chailatali,,,,,277,64,,,,,,,,,,,,,,,,,,,
53,Bangladesh,Chattogram,Khagrachhari,Lakkhichhari,Dullatali,2,,,,Hazachari,,,,,347,86,,100,,,,,,,,,,,,,,,,,
54,Bangladesh,Chattogram,Khagrachhari,Lakkhichhari,Dullatali,2,,,,Kurumbanga,,,,,135,38,,,,,,,,,,,,,,,,,,,
55,Bangladesh,Chattogram,Khagrachhari,Lakkhichhari,Dullatali,3,,,,Dongi para,,,,,276,60,,,208,,,,,,,,,,,,,,,,
56,Bangladesh,Chattogram,Khagrachhari,Lakkhichhari,Dullatali,3,,,,Bagan para,,,,,80,18,,,,,,,,,,,,,,,,,,,
57,Bangladesh,Chattogram,Khagrachhari,Lakkhichhari,Dullatali,4,,,,Moguichari,,,,,35,9,,,,,,,,,,,,,,,,,,,
58,Bangladesh,Chattogram,Khagrachhari,Lakkhichhari,Dullatali,4,,,,Mejarpara,,,,,110,26,,,,,,,,,,,,,,,,,,,
59,Bangladesh,Chattogram,Khagrachhari,Lakkhichhari,Dullatali,4,,,,West Jarulchari Chakma Para,,,,,66,16,,,26,,,,,,,,,,,,,,,,
60,Bangladesh,Chattogram,Khagrachhari,Lakkhichhari,Dullatali,4,,,,1 No tila,,,,,188,40,,,,,,,,,,,,,,,,,,,
61,Bangladesh,Chattogram,Khagrachhari,Lakkhichhari,Dullatali,4,,,,Uzan para,,,,,285,80,,200,,,,,,,,,,,,,,,,,
62,Bangladesh,Chattogram,Khagrachhari,Lakkhichhari,Dullatali,4,,,,Natun Para,,,,,234,75,,30,,,,,,,,,,,,,,,,,
63,Bangladesh,Chattogram,Khagrachhari,Lakkhichhari,Dullatali,4,,,,Natun Marma Para,,,,,235,50,,25,,,,,,,,,,,,,,,,,
64,Bangladesh,Chattogram,Khagrachhari,Lakkhichhari,Dullatali,5,,,,Jarulchari Bangali Para,,,,,265,80,,180,,,,,,,,,,,,,,,,,
65,Bangladesh,Chattogram,Khagrachhari,Lakkhichhari,Dullatali,5,,,,Marma para,,,,,117,58,,,170,,,,,,,,,,,,,,,,
66,Bangladesh,Chattogram,Khagrachhari,Lakkhichhari,Dullatali,5,,,,Muslim para,,,,,182,39,,,100,,,,,,,,,,,,,,,,
67,Bangladesh,Chattogram,Khagrachhari,Lakkhichhari,Dullatali,5,,,,South Jarulchari,,,,,267,50,,25,,,,,,,,,,,,,,,,,
68,Bangladesh,Chattogram,Khagrachhari,Lakkhichhari,Dullatali,6,,,,Dewan para,,,,,235,50,,30,,,,,,,,,,,,,,,,,
69,Bangladesh,Chattogram,Khagrachhari,Lakkhichhari,Dullatali,6,,,,West hazachari,,,,,286,75,,,200,,,,,,,,,,,,,,,,
70,Bangladesh,Chattogram,Khagrachhari,Lakkhichhari,Dullatali,7,,,,Botgaspara,,,,,141,56,,,150,,,,,,,,,,,,,,,,
71,Bangladesh,Chattogram,Khagrachhari,Lakkhichhari,Dullatali,7,,,,Member para,,,,,164,69,,,190,,,,,,,,,,,,,,,,
72,Bangladesh,Chattogram,Khagrachhari,Lakkhichhari,Dullatali,7,,,,Guru bukke,,,,,169,59,,,170,,,,,,,,,,,,,,,,
73,Bangladesh,Chattogram,Khagrachhari,Lakkhichhari,Dullatali,7,,,,Gobo mara,,,,,146,40,,,50,,,,,,,,,,,,,,,,
74,Bangladesh,Chattogram,Khagrachhari,Lakkhichhari,Dullatali,7,,,,Tripura chari,,,,,350,90,,,130,,,,,,,,,,,,,,,,
75,Bangladesh,Chattogram,Khagrachhari,Lakkhichhari,Dullatali,7,,,,Durchari para,,,,,263,86,,,80,,,,,,,,,,,,,,,,
76,Bangladesh,Chattogram,Khagrachhari,Lakkhichhari,Dullatali,7,,,,Khailasmahajan para,,,,,385,91,,,100,,,,,,,,,,,,,,,,
77,Bangladesh,Chattogram,Khagrachhari,Lakkhichhari,Dullatali,7,,,,Barodona,,,,,253,78,,,60,,,,,,,,,,,,,,,,
78,Bangladesh,Chattogram,Khagrachhari,Lakkhichhari,Dullatali,7,,,,Masterpara,,,,,297,86,,,200,,,,,,,,,,,,,,,,
79,Bangladesh,Chattogram,Khagrachhari,Lakkhichhari,Dullatali,8,,,,Tejendra para,,,,,284,86,,200,,,,,,,,,,,,,,,,,
80,Bangladesh,Chattogram,Khagrachhari,Lakkhichhari,Dullatali,8,,,,Rannyama chara,,,,,329,70,,,170,,,,,,,,,,,,,,,,
81,Bangladesh,Chattogram,Khagrachhari,Lakkhichhari,Dullatali,8,,,,Vatto para,,,,,220,55,,180,,,,,,,,,,,,,,,,,
82,Bangladesh,Chattogram,Khagrachhari,Lakkhichhari,Dullatali,9,,,,Dane banor kata,,,,,235,50,,150,,,,,,,,,,,,,,,,,
83,Bangladesh,Chattogram,Khagrachhari,Lakkhichhari,Dullatali,9,,,,Bame banar kata,,,,,291,62,,,180,,,,,,,,,,,,,,,,
84,Bangladesh,Chattogram,Khagrachhari,Lakkhichhari,Dullatali,9,,,,Digalchari,,,,,376,80,,,190,,,,,,,,,,,,,,,,
85,Bangladesh,Chattogram,Khagrachhari,Lakkhichhari,Dullatali,9,,,,Tullya para,,,,,216,46,,170,,,,,,,,,,,,,,,,,
86,Bangladesh,Chattogram,Khagrachhari,Lakkhichhari,Dullatali,9,,,,Vija kiching,,,,,483,126,,,160,,,,,,,,,,,,,,,,
87,Bangladesh,Chattogram,Khagrachhari,Lakkhichhari,Dullatali,9,,,,Simana para,,,,,240,54,,,120,,,,,,,,,,,,,,,,
88,Bangladesh,Chattogram,Khagrachhari,Lakkhichhari,Dullatali,9,,,,Dajor para,,,,,283,64,,,130,,,,,,,,,,,,,,,,
89,Bangladesh,Chattogram,Khagrachhari,Lakkhichhari,Dullatali,9,,,,Moddo para,,,,,319,77,,,150,,,,,,,,,,,,,,,,
90,Bangladesh,Chattogram,Khagrachhari,Lakkhichhari,Dullatali,9,,,,Juro moni para,,,,,304,65,,,150,,,,,,,,,,,,,,,,
91,Bangladesh,Chattogram,Khagrachhari,Lakkhichhari,Lakkhichhari,1,,,,Beltali Para,বেলতলি পাড়া,LAX101,,,680,,,,,,,,,,,,,,,,,,,,
92,Bangladesh,Chattogram,Khagrachhari,Lakkhichhari,Lakkhichhari,1,,,,Lakkhichhari Guccha Gram,লক্ষ্মীছড়ি গুচ্ছ গ্রাম,LAX102,,,600,,,,,,,,,,,,,,,,,,,,
93,Bangladesh,Chattogram,Khagrachhari,Lakkhichhari,Lakkhichhari,1,,,,Banarkata Para,বানরকাটা পাড়া,LAX103,,,280,,,,,,,,,,,,,,,,,,,,
94,Bangladesh,Chattogram,Khagrachhari,Lakkhichhari,Lakkhichhari,1,,,,Bagan Para,বাগান পাড়া,LAX104,,,140,,,,,,,,,,,,,,,,,,,,
95,Bangladesh,Chattogram,Khagrachhari,Lakkhichhari,Lakkhichhari,1,,,,Bijoy Karbari Para,বিজয় কারবারি পাড়া ,LAX105,,,120,,,,,,,,,,,,,,,,,,,,
96,Bangladesh,Chattogram,Khagrachhari,Lakkhichhari,Lakkhichhari,1,,,,Simana Para,সীমানা পাড়া,LAX106,,,120,,,,,,,,,,,,,,,,,,,,
97,Bangladesh,Chattogram,Khagrachhari,Lakkhichhari,Lakkhichhari,1,,,,Lakkhichhari Army Camp,লক্ষ্মীছড়ি আর্মি ক্যাম্প ,LAX107,,,200,,,,,,,,,,,,,,,,,,,,
98,Bangladesh,Chattogram,Khagrachhari,Lakkhichhari,Lakkhichhari,1,,,,Lakkhichhari Thana,লক্ষ্মীছড়ি থানা,LAX108,,,70,,,,,,,,,,,,,,,,,,,,
99,Bangladesh,Chattogram,Khagrachhari,Lakkhichhari,Lakkhichhari,2,,,,Hatichhara Para,হাতিছড়া পাড়া,LAX201,,,152,,,,,,,,,,,,,,,,,,,,
100,Bangladesh,Chattogram,Khagrachhari,Lakkhichhari,Lakkhichhari,2,,,,Jurgachhari,জুর্গাছড়ি,LAX202,,,560,,,,,,,,,,,,,,,,,,,,
101,Bangladesh,Chattogram,Khagrachhari,Lakkhichhari,Lakkhichhari,2,,,,Purba Jurgachhari,পূর্ব জুর্গাছড়ি,LAX203,,,200,,,,,,,,,,,,,,,,,,,,
102,Bangladesh,Chattogram,Khagrachhari,Lakkhichhari,Lakkhichhari,2,,,,Pashchim Jurgachhari,পশ্চিম জুর্গাছড়ি ,LAX204,,,180,,,,,,,,,,,,,,,,,,,,
103,Bangladesh,Chattogram,Khagrachhari,Lakkhichhari,Lakkhichhari,2,,,,Banarkata Mukhpara,বানরকাটা মুখপাড়া,LAX205,,,100,,,,,,,,,,,,,,,,,,,,
104,Bangladesh,Chattogram,Khagrachhari,Lakkhichhari,Lakkhichhari,2,,,,Bukyachhara Para,বুক্যাছড়া পাড়া,LAX206,,,240,,,,,,,,,,,,,,,,,,,,
105,Bangladesh,Chattogram,Khagrachhari,Lakkhichhari,Lakkhichhari,3,,,,Shilachhari Para,শিলাছড়ি পাড়া,LAX301,,,200,,,,,,,,,,,,,,,,,,,,
106,Bangladesh,Chattogram,Khagrachhari,Lakkhichhari,Lakkhichhari,3,,,,Shilachhari Muslim Para,শিলাছড়ি মুসলিম পাড়া ,LAX302,,,180,,,,,,,,,,,,,,,,,,,,
107,Bangladesh,Chattogram,Khagrachhari,Lakkhichhari,Lakkhichhari,3,,,,Hazachhari Para,হাজাছড়ি পাড়া,LAX303,,,280,,,,,,,,,,,,,,,,,,,,
108,Bangladesh,Chattogram,Khagrachhari,Lakkhichhari,Lakkhichhari,3,,,,Chota Dhurung Mukh Para,ছোট ধুরুং মুখ পাড়া,LAX304,,,40,,,,,,,,,,,,,,,,,,,,
109,Bangladesh,Chattogram,Khagrachhari,Lakkhichhari,Lakkhichhari,3,,,,Tongtula Para,টংতুলা পাড়া,LAX305,,,80,,,,,,,,,,,,,,,,,,,,
